stimuli	p
yes	97
definitely	82
in general no	35
in general yes	65
sometimes	52
certainly not	5
perhaps	53
not usually	32
it depends	50
mostly	66
it depends	50
certainly	100
usually	75
perhaps	51
nono	16
yes, it is possible	78
possibly not	33
yes, in general	64
probably not	20
no not exactly	36
possibly	50
yes at least possibly	54
not definitely	80
I think so kind of	52
I think so	77
possibly, yes	63
in general no	34
Uhm not necessarily	35
could be both yes and no	50
rarely	6
generally	88
not probably	28
no in general	31
depends	50
yes, it could	63
I'm going to say yes	57
yes but not necessarily	56
maybe	50
nope	0
no not exactly	18
nono	0
it's possible, but generally i guess i'd say no 	6
no not really	7
could be but not necessarily	84
probably	90
I think so...	73
yes, definitely	100
possibly but it's doubtful	8
yes	100
yes, it can be	63
not necessarily	78
yes, very likely	90
YES!!!	100
yes I suppose	60
yes it can be	66
no not necessarily at least	24
could be both yes and no	50
no it doesn't really relate	12
ah...hmmmm.... i guess i have to say no... 	38
not exactly	33
mostly not	15
yes, I think so	70
I think so...	54
depends	50
yes in general	86
yes, it could	76
hmm, I'd say yes in general 	67
not necessarily	42
no it doesn't really relate	50
no in general	36
yes i would assume so yes 	71
yes at least possibly	59
not usually	34
almost	37
no, not generally	11
I'm going to say yes	78
yea	100
possibly, yes	67
yes it can be	96
yes I suppose	70
yes!	100
yes usually	92
yup	84
yes, I think so	82
YESSSSS!!!!! :):)	100
yes usually	75
probably	89
yes	97
not certainly	41
yep	100
not usually	19
mostly	77
sometimes	52
possibly	49
usually	76
in general yes	91
usually not	12
definitely not	0
not probably	22
probably not	22
no	0
YES!!!	100
yea	100
no, it can be but not necessarily	7
mostly not	13
not necessarily	19
yes, very likely	97
it's possible, but generally i guess i'd say no 	10
definitely	100
possibly, yes	85
no not necessarily but could be	26
no not necessarily at least	12
i would say yes	91
hmm not exactly... (but again one could) 	55
yes!!	100
yes it can be	85
yes, I think so	87
probably	50
sort of	50
yes!	100
generally	50
I'm going to say yes	89
I think so	94
definitely	50
yes at least possibly	89
in general no	50
certainly	50
yes to some extent	82
could be both yes and no	52
in general, no	11
Uhm not necessarily	36
nope	50
not usually	9
generally	91
in general yes	7
possibly	50
yup	96
I don't think so	50
certainly not	50
yes, in general	85
no	50
usually	50
hmm, I'd say yes in general 	71
yes, very likely	50
yes in general	6
no, not normally	9
hmm not exactly... (but again one could) 	12
no not really	16
YESSSSS!!!!! :):)	9
nono	0
no it doesn't really relate	8
no in general	7
yes, it can be	96
usually, yes	90
ah...hmmmm.... i guess i have to say no... 	50
possibly, yes	100
no not exactly	0
yes i would assume so yes 	97
in general, no	0
yes, it is possible	100
could be but not necessarily	50
yes!!!	50
yes usually	96
no not necessarily but could be	50
mostly not	50
NO!	50
not that much	50
no, not generally	50
it can be but not necessarily	50
it's possible, but generally i guess i'd say no 	50
no, it can be but not necessarily	50
yea	50
yes I suppose	50
eh... yes, you could say so. 	50
not exactly	50
usually	80
not definitely	9
yes	93
perhaps	44
generally	68
probably not	10
I think so	69
possibly	67
rarely	5
not certainly	16
definitely	97
not probably	7
it depends	60
no	4
not possibly	7
no, not normally	2
yes, it could	66
yes, very likely	88
yes, that's right	97
yes in general	75
it can be but not necessarily	31
yes, in general	66
not quite	16
perhaps	37
probably	80
ah...hmmmm.... i guess i have to say no... 	0
no, not at all	4
nope	6
no, not necessarily	6
possibly, yes	73
possibly	46
yes to some extent	67
no in general	24
in general, no	20
definitely not	100
kind of	76
sort of	60
certainly not	88
I think so kind of	25
hmm not exactly... (but again one could) 	20
no	97
generally	60
eh... yes, you could say so. 	28
not really	38
certainly	86
nope	74
could be both yes and no	40
usually not	39
yes it can be	65
could be but not necessarily	31
it depends	27
NO!	25
yes i would assume so yes 	61
not necessarily	61
I don't think so	29
not possibly	71
yes but not necessarily	60
in general yes	59
yes, it can be	81
yes, definitely	95
I don't think so	23
no not necessarily at least	17
mostly	23
yes	93
yes at least possibly	58
maybe	27
Uhm not necessarily	38
:) not sure, maybe	21
almost	55
in general no	50
yes, that's right	93
yes, I think so	65
yes, definitely	94
YESSSSS!!!!! :):)	98
no, not necessarily	40
no not necessarily at least	27
yes I suppose	70
I think so...	65
i would say yes	44
could be both yes and no	23
yes!!	97
it can be but not necessarily	38
I think so kind of	24
yes but not necessarily	55
sometimes	61
no, not generally	36
nono	84
yea	67
yes definitely	82
not quite	46
eh... yes, you could say so. 	27
not necessarily	40
not usually	54
no, not normally	78
yes, it could	81
no not really	63
NO!	97
mostly	80
probably not	24
not possibly	5
not usually	8
possibly	89
generally	87
I don't think so	3
definitely not	0
in general no	0
not probably	0
certainly not	0
in general yes	100
nope	0
not certainly	0
perhaps	71
yes i would assume so yes 	90
yup	100
nono	0
definitely	100
no	0
yes, it could	98
I'm going to say yes	100
hmm not exactly... (but again one could) 	18
yes but not necessarily	74
yes, it can be	88
no it doesn't really relate	0
ah...hmmmm.... i guess i have to say no... 	0
eh... yes, you could say so. 	95
yes at least possibly	79
maybe	72
almost	87
yes, in general	96
no, not at all	0
yes, I think so	100
yes, it is possible	95
no not really	0
no, not normally	0
kind of	68
yes, definitely	100
not necessarily	31
yes usually	89
yes it can be	82
could be both yes and no	50
YESSSSS!!!!! :):)	100
possibly but it's doubtful	61
yes, that's right	100
it can be but not necessarily	77
not really	22
sometimes	50
usually	88
certainly not	0
mostly	81
in general yes	86
possibly	57
perhaps	87
usually not	32
rarely	7
probably	79
no	0
sort of	62
yep	100
not certainly	0
not definitely	26
I'm going to say yes	90
yes, it is possible	87
yes, that's right	100
yes definitely	100
no, not usuallly	8
no not necessarily but could be	50
yes in general	100
it can be but not necessarily	50
yes, definitely	100
yes!!!	100
Uhm not necessarily	33
definitely	100
yes but not necessarily	52
maybe	50
in general no	0
no not necessarily at least	50
I don't think so	19
yes to some extent	96
not that much	41
eh... yes, you could say so. 	71
yes	100
no not exactly	7
:) not sure, maybe	50
not usually	43
YESSSSS!!!!! :):)	100
hmm, I'd say yes in general 	94
yes, in general	94
not really	5
usually, yes	95
yes i would assume so yes 	100
no in general	3
in general yes	100
mostly	98
probably not	0
probably	100
possibly not	0
sometimes	79
not definitely	0
certainly	100
not usually	20
usually not	7
yep	79
I don't think so	0
not possibly	0
usually	88
possibly	79
yes, it can be	78
possibly but it's doubtful	21
ah...hmmmm.... i guess i have to say no... 	78
yes, that's right	100
nope	0
yea	84
YES!!!	86
yes, in general	100
no, not normally	13
yes definitely	82
not really	13
sort of	44
Uhm not necessarily	23
no not necessarily but could be	8
it can be but not necessarily	81
in general no	21
no, not at all	20
I think so kind of	73
yes, very likely	78
yes i would assume so yes 	85
no, not necessarily	21
yes to some extent	78
not necessarily	23
yes	80
not quite	20
eh... yes, you could say so. 	80
generally yes, but not necessarily	75
generally	80
I don't think so	22
not certainly	26
in general no	14
yep	91
yes	100
definitely	100
it depends	53
not usually	19
probably	78
sort of	58
generally	77
certainly not	4
definitely not	0
in general yes	79
nope	4
no, not usuallly	16
yes in general	80
hmm, I'd say yes in general 	67
depends	49
kind of	61
possibly, yes	63
Uhm not necessarily	39
yes, in general	79
nono	6
no, not normally	17
no, it can be but not necessarily	19
it can be but not necessarily	78
i would say yes	75
yes, it could	64
yes, I think so	79
yes, it can be	70
no not exactly	27
usually	77
I think so...	65
sometimes	50
yes i would assume so yes 	71
yes, definitely	100
yes it can be	64
yes to some extent	62
yes I suppose	68
:) not sure, maybe	56
possibly not	11
could be but not necessarily	65
in general yes	86
perhaps	63
no, not necessarily	35
I think so	50
possibly	58
not probably	26
usually	60
definitely	100
mostly	50
certainly	94
possibly	67
in general no	40
nope	0
perhaps	50
sort of	58
rarely	50
no, it can be but not necessarily	16
yes!!!	100
yes it can be	81
yes usually	79
yes, it could	66
hmm not exactly... (but again one could) 	50
almost	54
not definitely	13
not really	39
sometimes	42
probably	50
not certainly	15
yes to some extent	64
possibly not	56
probably	47
possibly	50
no, not at all	0
certainly not	9
usually	72
generally	50
yes but not necessarily	64
in general no	24
generally	66
definitely	95
not probably	16
:) not sure, maybe	37
no, not generally	17
in general yes	93
no not necessarily at least	39
mostly	74
no	10
not usually	33
ah...hmmmm.... i guess i have to say no... 	12
kind of	50
no not exactly	25
I don't think so	9
no, it can be but not necessarily	39
I don't think so	42
not necessarily	15
Uhm not necessarily	47
yes I suppose	79
yes, very likely	84
it can be but not necessarily	50
no it doesn't really relate	25
I think so...	65
NO!	6
YESSSSS!!!!! :):)	95
mostly not	31
I think so kind of	17
no not exactly	15
no in general	25
no, not normally	36
I think so	75
I'm going to say yes	72
it's possible, but generally i guess i'd say no 	61
sort of	39
yes, I think so	88
no not really	21
not exactly	12
no not necessarily but could be	20
it's possible, but generally i guess i'd say no 	39
yes but not necessarily	70
yes!!	100
yes definitely	72
possibly, yes	89
no, not generally	22
not that much	44
I think so...	76
yes i would assume so yes 	90
yes it can be	79
not that much	27
yea	76
not usually	29
no not necessarily at least	16
no, not necessarily	23
yes, in general	78
no in general	10
yes!!!	89
Uhm not necessarily	7
kind of	68
usually, yes	91
no, not usuallly	20
that's a hard one... I guess not really	34
no it doesn't really relate	7
it depends	1
usually not	91
possibly	60
in general no	77
not definitely	22
nope	1
probably not	9
yep	100
not possibly	8
not probably	10
sometimes	71
yes	100
mostly	88
generally	74
not certainly	15
yes, it can be	81
probably	85
no not necessarily but could be	59
yes in general	88
that's a hard one... I guess not really	14
sort of	59
no, not generally	6
no in general	21
no, not normally	10
yes to some extent	75
in general, no	11
depends	50
no, not at all	0
yea	100
yes I suppose	93
it's possible, but generally i guess i'd say no 	9
yes definitely	100
I think so kind of	79
perhaps	72
no it doesn't really relate	1
:) not sure, maybe	69
YES!!!	100
no not exactly	18
yes, very likely	93
could be both yes and no	50
yes it can be	87
not exactly	36
NO!	0
I don't think so	24
possibly but it's doubtful	30
usually, yes	90
definitely	100
it can be but not necessarily	66
no	50
yes	49
usually not	30
possibly	27
perhaps	74
it depends	71
not probably	42
usually not	63
yes	100
in general yes	86
yep	100
certainly	98
certainly not	100
generally	56
sometimes	32
definitely	100
usually	32
definitely not	97
NO!	100
hmm, I'd say yes in general 	90
it can be but not necessarily	24
probably	34
yes, that's right	98
it's possible, but generally i guess i'd say no 	100
hmm not exactly... (but again one could) 	29
YES!!!	100
kind of	33
nono	2
in general no	100
yes usually	35
no not necessarily but could be	21
sometimes	41
not that much	31
definitely not	100
no it doesn't really relate	26
I don't think so	34
yes, it could	85
not certainly	0
generally yes, but not necessarily	27
no	100
I think so kind of	23
yes!!	98
not quite	19
sort of	12
yes in general	61
not necessarily	38
not definitely	14
no, not usuallly	30
possibly not	22
yes!	100
certainly not	99
Uhm not necessarily	36
yep	76
sort of	59
yes i would assume so yes 	37
not probably	0
yes, very likely	44
I think so	66
yup	100
not usually	65
I think so...	39
no, not normally	42
mostly	64
nope	100
I think so	44
it's possible, but generally i guess i'd say no 	50
yes, in general	61
yes, it is possible	65
depends	50
yes it can be	68
no not necessarily at least	36
in general no	63
not definitely	44
sometimes	60
certainly	85
not possibly	8
definitely not	11
yes	100
rarely	3
probably	21
in general no	8
perhaps	75
not usually	9
not certainly	8
nope	0
certainly not	5
usually not	6
yes, I think so	90
no	0
I think so	91
I think so...	91
kind of	59
yes at least possibly	82
definitely	94
yes definitely	96
yes i would assume so yes 	87
:) not sure, maybe	81
usually	79
YES!!!	100
eh... yes, you could say so. 	90
depends	75
NO!	0
I don't think so	10
ah...hmmmm.... i guess i have to say no... 	7
yea	88
yes, definitely	95
I'm going to say yes	96
could be but not necessarily	85
yes I suppose	94
usually, yes	92
yes but not necessarily	79
yes!!	100
yes!	95
maybe	67
not that much	39
yes usually	86
I think so kind of	67
no, not normally	23
yes, it can be	68
it's possible, but generally i guess i'd say no 	28
maybe	51
NO!	100
yes, definitely	100
I think so kind of	26
yes i would assume so yes 	75
yes, I think so	62
I'm going to say yes	100
yes, it could	67
not that much	69
Uhm not necessarily	66
yes definitely	100
no, not generally	73
perhaps	79
hmm, I'd say yes in general 	56
no in general	63
yes!!!	100
yes I suppose	63
possibly but it's doubtful	23
not necessarily	66
kind of	67
could be but not necessarily	35
yes, that's right	100
YESSSSS!!!!! :):)	100
